agent,full_name,refactoring_type,count
Copilot,microsoft/typespec,Inline Variable,3
Copilot,microsoft/typespec,Localize Parameter,1
Copilot,microsoft/typespec,Merge Class,1
Copilot,microsoft/typespec,Merge Package,1
Copilot,microsoft/typespec,Modify Class Annotation,19
Copilot,microsoft/typespec,Modify Method Annotation,12
Copilot,microsoft/typespec,Move And Rename Class,10
Copilot,microsoft/typespec,Move And Rename Method,79
Copilot,microsoft/typespec,Move Attribute,554
Copilot,microsoft/typespec,Move Class,16
Copilot,microsoft/typespec,Move Code,3
Copilot,microsoft/typespec,Move Method,164
Copilot,microsoft/typespec,Parameterize Variable,1
Copilot,microsoft/typespec,Pull Up Attribute,6
Copilot,microsoft/typespec,Pull Up Method,5
Copilot,microsoft/typespec,Remove Attribute Annotation,556
Copilot,microsoft/typespec,Remove Class Annotation,1
Copilot,microsoft/typespec,Remove Method Annotation,259
Copilot,microsoft/typespec,Remove Method Modifier,2
Copilot,microsoft/typespec,Remove Parameter,8
Copilot,microsoft/typespec,Rename Attribute,1
Copilot,microsoft/typespec,Rename Class,9
Copilot,microsoft/typespec,Rename Method,10
Copilot,microsoft/typespec,Rename Parameter,8
Copilot,microsoft/typespec,Rename Variable,84
Copilot,microsoft/typespec,Replace Conditional With Ternary,1
Copilot,microsoft/typespec,Split Conditional,1
Copilot,mixpanel/mixpanel-android,Extract Variable,1
Copilot,mixpanel/mixpanel-android,Replace Generic With Diamond,1
Copilot,objectionary/eo,Add Method Modifier,1
Copilot,objectionary/eo,Add Variable Modifier,9
Copilot,objectionary/eo,Change Thrown Exception Type,1
Copilot,objectionary/eo,Change Variable Type,1
Copilot,objectionary/eo,Extract Variable,1
Copilot,objectionary/eo,Move And Rename Method,1
Copilot,objectionary/eo,Rename Method,3
Copilot,objectionary/eo,Rename Variable,1
Copilot,tonihele/OpenKeeper,Change Variable Type,1
Copilot,tonihele/OpenKeeper,Extract Variable,1
Copilot,vaadin/flow,Add Parameter,2
Copilot,vaadin/flow,Extract Method,33
Copilot,vaadin/flow,Extract Variable,2
Copilot,vaadin/flow,Inline Variable,2
Copilot,vaadin/flow,Invert Condition,3
Copilot,vaadin/flow,Merge Variable,1
Copilot,vaadin/flow,Parameterize Variable,2
Copilot,vaadin/flow,Remove Variable Modifier,4
Copilot,vaadin/flow,Split Conditional,1
Copilot,valkey-io/valkey-glide,Modify Method Annotation,5
Copilot,valkey-io/valkey-glide,Remove Method Annotation,1
Copilot,yegor256/cactoos,Change Variable Type,3
Cursor,StarRocks/starrocks,Add Method Annotation,2
Cursor,StarRocks/starrocks,Encapsulate Attribute,2
Cursor,StarRocks/starrocks,Extract And Move Method,5
Cursor,StarRocks/starrocks,Extract Method,9
Cursor,StarRocks/starrocks,Parameterize Variable,5
Cursor,StarRocks/starrocks,Remove Method Annotation,2
Cursor,StarRocks/starrocks,Remove Thrown Exception Type,1
Cursor,StarRocks/starrocks,Rename Method,1
Cursor,YunaiV/yudao-cloud,Add Method Annotation,1
Cursor,why168/LoopViewPagerLayout,Change Attribute Type,1
Cursor,why168/LoopViewPagerLayout,Extract Variable,1
Cursor,why168/LoopViewPagerLayout,Inline Variable,1
Devin,domaframework/doma,Extract Method,9
Devin,domaframework/doma,Invert Condition,2
Devin,domaframework/doma,Merge Conditional,8
Devin,domaframework/doma,Rename Variable,5
Devin,rieckpil/testing-spring-boot-applications-masterclass,Add Attribute Annotation,23
Devin,rieckpil/testing-spring-boot-applications-masterclass,Remove Attribute Annotation,23
Human,Ashok-Varma/BottomNavigation,Add Class Modifier,1
Human,Ashok-Varma/BottomNavigation,Add Parameter Annotation,28
Human,Ashok-Varma/BottomNavigation,Encapsulate Attribute,1
Human,Ashok-Varma/BottomNavigation,Extract Method,4
Human,Ashok-Varma/BottomNavigation,Extract Variable,3
Human,Ashok-Varma/BottomNavigation,Inline Method,6
Human,Ashok-Varma/BottomNavigation,Inline Variable,2
Human,Clans/FloatingActionButton,Add Parameter,6
Human,Clans/FloatingActionButton,Add Parameter Annotation,8
Human,Clans/FloatingActionButton,Add Variable Modifier,4
Human,Clans/FloatingActionButton,Change Attribute Access Modifier,6
Human,Clans/FloatingActionButton,Change Attribute Type,1
Human,Clans/FloatingActionButton,Change Class Access Modifier,1
Human,Clans/FloatingActionButton,Change Method Access Modifier,6
Human,Clans/FloatingActionButton,Change Return Type,1
Human,Clans/FloatingActionButton,Change Variable Type,10
Human,Clans/FloatingActionButton,Encapsulate Attribute,7
Human,Clans/FloatingActionButton,Extract Method,2
Human,Clans/FloatingActionButton,Extract Variable,7
Human,Clans/FloatingActionButton,Invert Condition,4
Human,Clans/FloatingActionButton,Modify Method Annotation,2
Human,Clans/FloatingActionButton,Move And Rename Method,3
Human,Clans/FloatingActionButton,Move Attribute,3
Human,Clans/FloatingActionButton,Move Code,2
Human,Clans/FloatingActionButton,Remove Variable Modifier,3
Human,Clans/FloatingActionButton,Rename Attribute,5
Human,Clans/FloatingActionButton,Rename Class,6
Human,Clans/FloatingActionButton,Rename Method,1
Human,Clans/FloatingActionButton,Rename Variable,11
Human,Clans/FloatingActionButton,Replace Variable With Attribute,12
Human,Clans/FloatingActionButton,Split Conditional,2
Human,Clans/FloatingActionButton,Split Method,2
Human,Flipboard/bottomsheet,Add Class Annotation,1
Human,Flipboard/bottomsheet,Add Class Modifier,3
Human,Flipboard/bottomsheet,Add Parameter,2
Human,Flipboard/bottomsheet,Add Parameter Annotation,3
Human,Flipboard/bottomsheet,Add Parameter Modifier,6
Human,Flipboard/bottomsheet,Add Variable Modifier,5
Human,Flipboard/bottomsheet,Change Attribute Access Modifier,7
Human,Flipboard/bottomsheet,Change Attribute Type,4
Human,Flipboard/bottomsheet,Change Method Access Modifier,1
Human,Flipboard/bottomsheet,Change Parameter Type,17
Human,Flipboard/bottomsheet,Change Return Type,2
Human,Flipboard/bottomsheet,Change Variable Type,4
Human,Flipboard/bottomsheet,Encapsulate Attribute,2
Human,Flipboard/bottomsheet,Extract Attribute,2
Human,Flipboard/bottomsheet,Extract Method,2
Human,Flipboard/bottomsheet,Extract Variable,3
Human,Flipboard/bottomsheet,Inline Method,1
Human,Flipboard/bottomsheet,Invert Condition,1
Human,Flipboard/bottomsheet,Merge Attribute,1
Human,Flipboard/bottomsheet,Merge Conditional,2
Human,Flipboard/bottomsheet,Merge Parameter,1
Human,Flipboard/bottomsheet,Modify Method Annotation,1
Human,Flipboard/bottomsheet,Move And Inline Method,1
Human,Flipboard/bottomsheet,Move Attribute,1
Human,Flipboard/bottomsheet,Move Code,1
Human,Flipboard/bottomsheet,Move Method,1
Human,Flipboard/bottomsheet,Remove Attribute Modifier,2
Human,Flipboard/bottomsheet,Remove Parameter Annotation,1
Human,Flipboard/bottomsheet,Rename Attribute,4
Human,Flipboard/bottomsheet,Rename Class,3
Human,Flipboard/bottomsheet,Rename Method,8
Human,Flipboard/bottomsheet,Rename Parameter,7
Human,Flipboard/bottomsheet,Rename Variable,4
Human,Flipboard/bottomsheet,Split Conditional,2
Human,Jacksgong/JKeyboardPanelSwitch,Change Return Type,2
Human,Jacksgong/JKeyboardPanelSwitch,Extract Variable,1
